year,sem,start_date,end_date
2010,1,04.01.2010 00:00:00,05.06.2010 00:00:00
2010,2,21.06.2010 00:00:00,17.11.2010 00:00:00
2011,1,03.01.2011 00:00:00,27.05.2011 00:00:00
2011,2,13.06.2011 00:00:00,18.11.2011 00:00:00
2012,1,04.01.2012 00:00:00,25.05.2012 00:00:00
2012,2,11.06.2012 00:00:00,31.12.2012 00:00:00
2013,1,02.01.2013 00:00:00,14.06.2013 00:00:00
2013,2,09.06.2013 00:00:00,31.12.2013 00:00:00
2014,1,02.01.2014 00:00:00,14.06.2014 00:00:00
2009,2,15.06.2009 00:00:00,20.11.2009 00:00:00
2014,2,16.06.2014 00:00:00,21.11.2014 00:00:00
2015,1,05.01.2015 00:00:00,14.06.2015 00:00:00
2015,2,15.06.2015 00:00:00,31.12.2015 00:00:00
2016,1,04.01.2016 00:00:00,27.05.2016 00:00:00
2017,2,12.06.2017 00:00:00,24.11.2017 00:00:00
2016,2,13.06.2016 00:00:00,25.11.2016 00:00:00
2017,1,03.01.2017 00:00:00,26.05.2017 00:00:00
2003,2,02.01.2003 00:00:00,31.12.2003 00:00:00
2018,1,02.01.2018 00:00:00,31.05.2018 00:00:00
2019,1,01.01.2019 00:00:00,31.05.2019 00:00:00
2018,2,01.06.2018 00:00:00,31.12.2018 00:00:00
2019,2,01.06.2019 00:00:00,31.12.2019 00:00:00
